Reference, Quantity, Value, Footprint, Datasheet, part, farnell,
C1 C11 C12 C13 C16 C18 C19 C2 C20 C23 C25 C26 C27 C3 C30 C32 C34 C37 C39 C4 C42 C47 C48 C5 C57 C59 C6 C60 C61 C62 C64 C65 C66 C67 C68 C69 C70 C71 C9 C94 C95 C98 ,42,100n,Capacitors_SMD:C_0805,,0805B104J500CT,2496940,
C10 C14 C17 C21 C24 C28 C31 C33 C50 C52 C54 C56 C7 C74 C75 C76 C77 C78 C79 C80 C81 C82 C87 C88 C89 C90 C91 ,27,1u,Capacitors_SMD:C_1206,,GRM31MR71E105JA01L,2362126,
C35 ,1,470p,Capacitors_SMD:C_0805,,0805N471J500CT,2497037,
C36 ,1,10u,Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_Wave,,T491C106K035AT,1457464,
C38 ,1,680u,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_Wave,,TPSE687K006R0060,2283882,
C40 C41 C92 C93 ,4,10u,myfootprints:CP_0805,,TMCP0J106KTRF,2491430,
C43 C58 C63 C96 C97 C99 ,6,1n,Capacitors_SMD:C_0805,,GRM2165C1H102JA01D,2494247,
C44 C45 ,2,26p,Capacitors_SMD:C_0805,,0805N270J500CT,2497027,
C46 ,1,4.7u,myfootprints:CP_0805,,TMCP0J475KTRF,2491429,
C49 C51 C53 C55 ,4,10n,Capacitors_SMD:C_0805,,0805B103J500CT,2496936,
C72 C73 ,2,33uF,myfootprints:CP_1206,,293D336X96R3A2TE3,1754149,
C15 C22 C29 C8 ,4,220nF,Capacitors_SMD:C_1206,,1206B224J500CT,2497088,
C83 C84 C85 C86 ,4,47n,Capacitors_SMD:C_0805,,0805B473J500CT,2496981,
D10 ,1,RF_Release,LEDs:LED_0805,,KP-2012LSGC,2463991,
D11 ,1,RF_tighten,LEDs:LED_0805,,KP-2012SRC-PRV,1318244,
D12 ,1,RR_Release,LEDs:LED_0805,,KP-2012LSGC,2463991,
D13 ,1,RR_Tighten,LEDs:LED_0805,,KP-2012SRC-PRV,1318244,
D14 D15 D16 D17 D18 D19 D20 D21 D22 D23 D24 D25 ,12,1n4148W,Diodes_SMD:SOD-323,,1N4148WS,1466524,
