Filtrera,,,
,,,
farnell,Summa - Qty,,
1087205,1,MC34063,MC34063ABD-TR
1099911,1,0.031,LR1206-R033FW
1220984,1,SN65HVD1050D,SN65HVD1050D
1282184,1,Conn48pin,5810148007
1282197,1,Cinch_SE_1heatsink,5810130042
1282203,1,Thermal_spring,5810000021
1282205,1,18pin_connector,5810118023
1282206,1,30pin connector,5810130028
1282210,1,crimp connectors (200pieces),4250000873
1288261,8,220nF,C0805C224K5RACTU
1301938,1,VR,VC120618A400DP
1345917,8,15R PTC fuse,MICROSMD010F-2
1426197,4,ITS5215L,ITS5215L
1426352,2,LM224,LM224DR2G
1440811,1,BTS6133D,BTS6133D
1463368,1,10uF,0
1466026,1,10v,BZT52C10S
1466524,2,1n4148w,0
1467779,1,LD1117S33CTR,0
1469877,4,150R,0
1469936,9,500,0
1667519,4,14Pin single row header female,0
1757856,2,3.3V,PDZ3.3B.115
1773609,1,BC847,BC847
1773623,2,BC856,BC856B-7-F
1775575,1,IPD060N03L G,0
1850136,1,1000uF,EEEFK1H102AM
1863849,1,14V,V14MLA1206NHAUTO
2053833,1,BSS138,BSS138BK
2118131,8,1uF,C0805C105K5RACTU
2289473,1,Thermal pad,FCTS73-05N
2290331,9,CompressorLED,KP-2012CGCK
2303452,1,120R,0
2326228,3,680uF,EEEHAC681UAP
2333572,1,4.7k,0
2333725,2,SRR1240-180M 17.4uH,0
2356133,1,8Pin dual row header male,0
2356135,1,14Pin dual row header male,0
2443434,1,IPD50P04P4L-11,IPD50P04P4L-11
2496932,1,1n,0805B102J500CT
2496940,3,100n,0805B104J500CT
9332383,28,1k,0
9332391,13,10k,0
9332499,1,1.2k,0
9332766,3,2k,0
9333118,1,3.6k,0
9557377,1,schotky,MBRS340T3G
 ,1,CAN_Silent, 
(tom),1,#Saknas,#Saknas
Totalt Resultat,145,,
