eeschema (2013-jul-07)-stable  >> Creation date: mån  3 aug 2015 11:24:03
#Cmp ( order = Reference )
| C1         1000uF      http://www.farnell.com/datasheets/1884702.pdf; kicad_lib:SMD_Cap_16x16.5; http://www.farnell.com/datasheets/1884702.pdf; EEEFK1H102AM; 1850136     ;             ;             ;             ;             ;             ;             
| C2         220nF                           ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| C3         220nF                           ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| C4         220nF                           ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| C5         220nF                           ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| C6         220nF                           ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| C7         1uF                             ; Capacitors_SMD:C_0805;             ; C0805C105K5RACTU; 2118131     ;             ;             ;             ;             ;             ;             
| C8         1uF                             ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| C9         220nF                           ; Capacitors_SMD:C_0805;             ; C0805C224K5RACTU; 1288261     ;             ;             ;             ;             ;             ;             
| C10        220nF                           ; Capacitors_SMD:C_0805;             ; C0805C224K5RACTU; 1288261     ;             ;             ;             ;             ;             ;             
| C11        1uF                             ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| C12        1uF                             ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| C13        1uF                             ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| C14        1uF                             ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| C15        1uF                             ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| C16        1uF                             ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| C17        220nF                           ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| C18        47uF lowESR http://www.farnell.com/datasheets/1679509.pdf; Capacitors_SMD:c_elec_6.3x7.7; http://www.farnell.com/datasheets/1679509.pdf; EEETQV470XAP; 2254474     ;             ;             ;             ;             ;             ;             
| C19        470uF low esrhttp://www.farnell.com/datasheets/1790597.pdf; Capacitors_SMD:c_elec_8x10.5; http://www.farnell.com/datasheets/1790597.pdf; EEEFT1E471AP; 1868411     ;             ;             ;             ;             ;             ;             
| conn1      conn_molex_36638-48pinhttp://www.farnell.com/datasheets/1780492.pdf;             ; http://www.farnell.com/datasheets/1780492.pdf; 1830389     ; MOLEX  36638-0002;             ;             ;             ;             ;             ;             
| D1         RightFill_Led                    ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| D2         3.3V                            ; Diodes_SMD:SOD-323;             ; PDZ3.3B,115 ; 1757856     ;             ;             ;             ;             ;             ;             
| D3         CompressorLED                    ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| D4         LeftFill_Led                    ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| D5         3,3V                            ; Diodes_SMD:SOD-323;             ; PDZ3.3B,115 ; 1757856     ;             ;             ;             ;             ;             ;             
| D6         RightDump_Led                    ; LEDs:LED-0805;             ; 2290331     ; KP-2012CGCK ;             ;             ;             ;             ;             ;             
| D7         LeftDump_Led                    ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| D8         Spare1_Led                      ; LEDs:LED-0805;             ; 2290331     ; KP-2012CGCK ;             ;             ;             ;             ;             ;             
| D9         Airdryer_Led                    ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| D10        RightSuck_Led                    ; LEDs:LED-0805;             ; 2290331     ; KP-2012CGCK ;             ;             ;             ;             ;             ;             
| D11        LeftSuck_Led                    ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| D12        SS110       http://www.farnell.com/datasheets/1662144.pdf; Diodes_SMD:Diode-SMA_Handsoldering; http://www.farnell.com/datasheets/1662144.pdf; 4085140     ;             ;             ;             ;             ;             ;             ;             
| F1         15R PTC fusehttp://www.farnell.com/datasheets/1468628.pdf; Resistors_SMD:R_1210; http://www.farnell.com/datasheets/1468628.pdf; 1345917     ; MICROSMD010F-2;             ;             ;             ;             ;             ;             
| F2         15R PTC fuse                    ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| F3         15R PTC fuse                    ; Resistors_SMD:R_1210;             ; 1345917     ; MICROSMD010F-2;             ;             ;             ;             ;             ;             
| F4         15R PTC fuse                    ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| F5         15R PTC fuse                    ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| F6         15R PTC fuse                    ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| F7         15R PTC fuse                    ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| F8         15R PTC fuse                    ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| JP1        CAN_fullspeed                    ; Oddities:NetTie-I_Connected_SMD;             ;             ;             ;             ;             ;             ;             ;             ;             
| JP2        CAN_Silent                      ; Oddities:NetTie-I_SMD;             ;             ;             ;             ;             ;             ;             ;             ;             
